Dates,Prices
2022-10-24,1.110196E+01
2022-10-25,1.111518E+01
2022-10-26,1.112842E+01
2022-10-27,1.114170E+01
2022-10-28,1.115500E+01
2022-10-29,1.116832E+01
2022-10-30,1.118165E+01
2022-10-31,1.119500E+01
2022-11-01,1.120836E+01
2022-11-02,1.122173E+01
2022-11-03,1.123509E+01
2022-11-04,1.124846E+01
2022-11-05,1.126182E+01
2022-11-06,1.127517E+01
2022-11-07,1.128852E+01
2022-11-08,1.130184E+01
2022-11-09,1.131515E+01
2022-11-10,1.132844E+01
2022-11-11,1.134170E+01
2022-11-12,1.135493E+01
2022-11-13,1.136813E+01
2022-11-14,1.138129E+01
2022-11-15,1.139441E+01
2022-11-16,1.140750E+01
2022-11-17,1.142053E+01
2022-11-18,1.143352E+01
2022-11-19,1.144645E+01
2022-11-20,1.145932E+01
2022-11-21,1.147214E+01
2022-11-22,1.148489E+01
2022-11-23,1.149758E+01
2022-11-24,1.151019E+01
2022-11-25,1.152274E+01
2022-11-26,1.153521E+01
2022-11-27,1.154759E+01
2022-11-28,1.155990E+01
2022-11-29,1.157212E+01
2022-11-30,1.158425E+01
2022-12-01,1.159628E+01
2022-12-02,1.160822E+01
2022-12-03,1.162007E+01
2022-12-04,1.163181E+01
2022-12-05,1.164345E+01
2022-12-06,1.165497E+01
2022-12-07,1.166639E+01
2022-12-08,1.167770E+01
2022-12-09,1.168889E+01
2022-12-10,1.169996E+01
2022-12-11,1.171090E+01
2022-12-12,1.172173E+01
2022-12-13,1.173242E+01
2022-12-14,1.174298E+01
2022-12-15,1.175342E+01
2022-12-16,1.176371E+01
2022-12-17,1.177387E+01
2022-12-18,1.178388E+01
2022-12-19,1.179376E+01
2022-12-20,1.180348E+01
2022-12-21,1.181306E+01
2022-12-22,1.182249E+01
2022-12-23,1.183177E+01
2022-12-24,1.184089E+01
2022-12-25,1.184985E+01
2022-12-26,1.185865E+01
2022-12-27,1.186729E+01
2022-12-28,1.187576E+01
2022-12-29,1.188407E+01
2022-12-30,1.189222E+01
2022-12-31,1.190019E+01
2023-01-01,1.190799E+01
2023-01-02,1.191561E+01
2023-01-03,1.192306E+01
2023-01-04,1.193034E+01
2023-01-05,1.193743E+01
2023-01-06,1.194434E+01
2023-01-07,1.195107E+01
2023-01-08,1.195762E+01
2023-01-09,1.196398E+01
2023-01-10,1.197015E+01
2023-01-11,1.197614E+01
2023-01-12,1.198193E+01
2023-01-13,1.198754E+01
2023-01-14,1.199295E+01
2023-01-15,1.199817E+01
2023-01-16,1.200319E+01
2023-01-17,1.200802E+01
2023-01-18,1.201265E+01
2023-01-19,1.201709E+01
2023-01-20,1.202133E+01
2023-01-21,1.202537E+01
2023-01-22,1.202920E+01
2023-01-23,1.203284E+01
2023-01-24,1.203628E+01
2023-01-25,1.203952E+01
2023-01-26,1.204255E+01
2023-01-27,1.204538E+01
2023-01-28,1.204801E+01
2023-01-29,1.205043E+01
2023-01-30,1.205265E+01
2023-01-31,1.205467E+01
2023-02-01,1.205648E+01
2023-02-02,1.205809E+01
2023-02-03,1.205949E+01
2023-02-04,1.206070E+01
2023-02-05,1.206169E+01
2023-02-06,1.206248E+01
2023-02-07,1.206307E+01
2023-02-08,1.206346E+01
2023-02-09,1.206364E+01
2023-02-10,1.206362E+01
2023-02-11,1.206340E+01
2023-02-12,1.206298E+01
2023-02-13,1.206235E+01
2023-02-14,1.206153E+01
2023-02-15,1.206050E+01
2023-02-16,1.205928E+01
2023-02-17,1.205785E+01
2023-02-18,1.205623E+01
2023-02-19,1.205442E+01
2023-02-20,1.205241E+01
2023-02-21,1.205020E+01
2023-02-22,1.204780E+01
2023-02-23,1.204521E+01
2023-02-24,1.204242E+01
2023-02-25,1.203945E+01
2023-02-26,1.203629E+01
2023-02-27,1.203294E+01
2023-02-28,1.202941E+01
2023-03-01,1.202569E+01
2023-03-02,1.202179E+01
2023-03-03,1.201771E+01
2023-03-04,1.201345E+01
2023-03-05,1.200901E+01
2023-03-06,1.200440E+01
2023-03-07,1.199961E+01
2023-03-08,1.199465E+01
2023-03-09,1.198952E+01
2023-03-10,1.198422E+01
2023-03-11,1.197876E+01
2023-03-12,1.197313E+01
2023-03-13,1.196734E+01
2023-03-14,1.196139E+01
2023-03-15,1.195528E+01
2023-03-16,1.194902E+01
2023-03-17,1.194260E+01
2023-03-18,1.193603E+01
2023-03-19,1.192931E+01
2023-03-20,1.192245E+01
2023-03-21,1.191545E+01
2023-03-22,1.190830E+01
2023-03-23,1.190101E+01
2023-03-24,1.189359E+01
2023-03-25,1.188604E+01
2023-03-26,1.187835E+01
2023-03-27,1.187054E+01
2023-03-28,1.186260E+01
2023-03-29,1.185454E+01
2023-03-30,1.184636E+01
2023-03-31,1.183806E+01
2023-04-01,1.182965E+01
2023-04-02,1.182113E+01
2023-04-03,1.181250E+01
2023-04-04,1.180377E+01
2023-04-05,1.179494E+01
2023-04-06,1.178600E+01
2023-04-07,1.177697E+01
2023-04-08,1.176785E+01
2023-04-09,1.175864E+01
2023-04-10,1.174934E+01
2023-04-11,1.173996E+01
2023-04-12,1.173050E+01
2023-04-13,1.172097E+01
2023-04-14,1.171136E+01
2023-04-15,1.170168E+01
2023-04-16,1.169193E+01
2023-04-17,1.168212E+01
2023-04-18,1.167225E+01
2023-04-19,1.166232E+01
2023-04-20,1.165234E+01
2023-04-21,1.164231E+01
2023-04-22,1.163224E+01
2023-04-23,1.162212E+01
2023-04-24,1.161196E+01
2023-04-25,1.160176E+01
2023-04-26,1.159154E+01
2023-04-27,1.158128E+01
2023-04-28,1.157100E+01
2023-04-29,1.156069E+01
2023-04-30,1.155037E+01
2023-05-01,1.154003E+01
2023-05-02,1.152968E+01
2023-05-03,1.151932E+01
2023-05-04,1.150896E+01
2023-05-05,1.149860E+01
2023-05-06,1.148823E+01
2023-05-07,1.147788E+01
2023-05-08,1.146753E+01
2023-05-09,1.145720E+01
2023-05-10,1.144688E+01
2023-05-11,1.143658E+01
2023-05-12,1.142631E+01
2023-05-13,1.141606E+01
2023-05-14,1.140584E+01
2023-05-15,1.139566E+01
2023-05-16,1.138551E+01
2023-05-17,1.137541E+01
2023-05-18,1.136535E+01
